id,name,brand,category,type,price,description
1080,Lenovo Monitor Neo 653,Lenovo,Electronics,Monitor,54099,This monitor from Lenovo is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable monitor in the electronics category at around 54099 rupees.
1081,Samsung Keyboard Zen 660,Samsung,Electronics,Keyboard,15466,This keyboard from Samsung is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable keyboard in the electronics category at around 15466 rupees.
1082,Xiaomi Mouse Ultra 667,Xiaomi,Electronics,Mouse,3610,This mouse from Xiaomi is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable mouse in the electronics category at around 3610 rupees.
1083,HP Camera Neo 674,HP,Electronics,Camera,90438,This camera from HP is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable camera in the electronics category at around 90438 rupees.
1084,Realme Earbuds Edge 681,Realme,Electronics,Earbuds,17040,This earbuds from Realme is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable earbuds in the electronics category at around 17040 rupees.
1085,Lenovo Smartphone Pro 688,Lenovo,Electronics,Smartphone,8889,This smartphone from Lenovo is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable smartphone in the electronics category at around 8889 rupees.
1086,Samsung Laptop Zen 695,Samsung,Electronics,Laptop,25339,This laptop from Samsung is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable laptop in the electronics category at around 25339 rupees.
1087,Xiaomi Headphones Max 702,Xiaomi,Electronics,Headphones,13580,This headphones from Xiaomi is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable headphones in the electronics category at around 13580 rupees.
1088,HP Smartwatch Zen 709,HP,Electronics,Smartwatch,12924,This smartwatch from HP is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable smartwatch in the electronics category at around 12924 rupees.
1089,Realme Tablet Prime 716,Realme,Electronics,Tablet,25199,This tablet from Realme is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable tablet in the electronics category at around 25199 rupees.
1090,OnePlus Power Bank Prime 723,OnePlus,Electronics,Power Bank,7440,This power bank from OnePlus is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable power bank in the electronics category at around 7440 rupees.
1091,Dell Bluetooth Speaker Edge 730,Dell,Electronics,Bluetooth Speaker,4720,This bluetooth speaker from Dell is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable bluetooth speaker in the electronics category at around 4720 rupees.
1092,Boat Monitor Classic 737,Boat,Electronics,Monitor,24399,This monitor from Boat is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable monitor in the electronics category at around 24399 rupees.
1093,Apple Keyboard Pro 744,Apple,Electronics,Keyboard,8536,This keyboard from Apple is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable keyboard in the electronics category at around 8536 rupees.
1094,Sony Mouse Sport 751,Sony,Electronics,Mouse,2170,This mouse from Sony is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable mouse in the electronics category at around 2170 rupees.
1095,Lenovo Camera Neo 758,Lenovo,Electronics,Camera,108798,This camera from Lenovo is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable camera in the electronics category at around 108798 rupees.
1096,Samsung Earbuds Prime 765,Samsung,Electronics,Earbuds,8670,This earbuds from Samsung is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable earbuds in the electronics category at around 8670 rupees.
1097,Boat Smartphone Core 772,Boat,Electronics,Smartphone,32199,This smartphone from Boat is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable smartphone in the electronics category at around 32199 rupees.
1098,Apple Laptop Prime 779,Apple,Electronics,Laptop,66919,This laptop from Apple is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable laptop in the electronics category at around 66919 rupees.
1099,Sony Headphones Zen 786,Sony,Electronics,Headphones,14525,This headphones from Sony is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable headphones in the electronics category at around 14525 rupees.
1100,Lenovo Smartwatch Plus 793,Lenovo,Electronics,Smartwatch,14409,This smartwatch from Lenovo is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable smartwatch in the electronics category at around 14409 rupees.
1101,Samsung Tablet Max 800,Samsung,Electronics,Tablet,18719,This tablet from Samsung is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable tablet in the electronics category at around 18719 rupees.
1102,Xiaomi Power Bank Core 807,Xiaomi,Electronics,Power Bank,3255,This power bank from Xiaomi is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable power bank in the electronics category at around 3255 rupees.
1103,HP Bluetooth Speaker Ultra 814,HP,Electronics,Bluetooth Speaker,7600,This bluetooth speaker from HP is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable bluetooth speaker in the electronics category at around 7600 rupees.
1104,Realme Monitor Plus 821,Realme,Electronics,Monitor,49599,This monitor from Realme is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable monitor in the electronics category at around 49599 rupees.
1105,OnePlus Keyboard Plus 828,OnePlus,Electronics,Keyboard,5566,This keyboard from OnePlus is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable keyboard in the electronics category at around 5566 rupees.
1106,Dell Mouse Sport 835,Dell,Electronics,Mouse,550,This mouse from Dell is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable mouse in the electronics category at around 550 rupees.
1107,Boat Camera Nova 842,Boat,Electronics,Camera,13938,This camera from Boat is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable camera in the electronics category at around 13938 rupees.
1108,Apple Earbuds Air 849,Apple,Electronics,Earbuds,12990,This earbuds from Apple is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable earbuds in the electronics category at around 12990 rupees.
1109,Realme Smartphone Core 856,Realme,Electronics,Smartphone,32829,This smartphone from Realme is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable smartphone in the electronics category at around 32829 rupees.
1110,OnePlus Laptop Max 863,OnePlus,Electronics,Laptop,46759,This laptop from OnePlus is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable laptop in the electronics category at around 46759 rupees.
1111,Dell Headphones Lite 870,Dell,Electronics,Headphones,10115,This headphones from Dell is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable headphones in the electronics category at around 10115 rupees.
1112,Boat Smartwatch Air 877,Boat,Electronics,Smartwatch,30249,This smartwatch from Boat is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable smartwatch in the electronics category at around 30249 rupees.
1113,Apple Tablet Edge 884,Apple,Electronics,Tablet,38159,This tablet from Apple is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable tablet in the electronics category at around 38159 rupees.
1114,Sony Power Bank Classic 891,Sony,Electronics,Power Bank,9870,This power bank from Sony is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable power bank in the electronics category at around 9870 rupees.
